CFACTOR	P	t	THETA	t/3600	PBLH	TEMP	O1D	OH	HO2	O3	NO	NO2	eNOx	TUV_J(6,THETA)	emis_NO	emis_NO*molps_to_molpcm2ps/PBLH/100/CFACTOR*3600
2.41958786e+10	9.96000000e+04	1.05142949e+04	1.06016578e+02	2.92063746e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.39653853e-06	2.13831473e-03	2.47405207e+01	2.43663088e-03	1.28665734e+00	4.97209483e-01	0.00000000e+00	6.06622515e-02	1.50982996e-01
2.41958786e+10	9.96000000e+04	1.08128434e+04	1.05372776e+02	3.00356762e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.38123687e-06	2.14785541e-03	2.46054445e+01	2.44409052e-03	1.29364023e+00	5.10903701e-01	0.00000000e+00	6.06740279e-02	1.51012306e-01
2.41958786e+10	9.96000000e+04	1.11279357e+04	1.04680227e+02	3.09109324e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.36466964e-06	2.15708150e-03	2.44710054e+01	2.45240541e-03	1.30059891e+00	5.24600408e-01	0.00000000e+00	6.10362609e-02	1.51913872e-01
2.41958786e+10	9.96000000e+04	1.14263770e+04	1.04012245e+02	3.17399360e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.35026464e-06	2.16636094e-03	2.43371671e+01	2.47560248e-03	1.30759681e+00	5.38379165e-01	0.00000000e+00	6.13793517e-02	1.52767795e-01
2.41958786e+10	9.96000000e+04	1.17060361e+04	1.03375977e+02	3.25167669e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.33526671e-06	2.17611953e-03	2.42039195e+01	2.49910951e-03	1.31464281e+00	5.52235635e-01	0.00000000e+00	6.17008504e-02	1.53567977e-01
2.41958786e+10	9.96000000e+04	1.20226759e+04	1.02643853e+02	3.33963218e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.31976962e-06	2.18646322e-03	2.40712612e+01	2.52255418e-03	1.32173275e+00	5.66164928e-01	0.00000000e+00	6.20648624e-02	1.54473971e-01
2.41958786e+10	9.96000000e+04	1.23321423e+04	1.01916637e+02	3.42559507e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.30433322e-06	2.19737886e-03	2.39391853e+01	2.54849995e-03	1.32887406e+00	5.80176674e-01	0.00000000e+00	6.24206278e-02	1.55359439e-01
2.41958786e+10	9.96000000e+04	1.26076540e+04	1.01259779e+02	3.50212612e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.28854052e-06	2.20882334e-03	2.38076883e+01	2.57485393e-03	1.33606744e+00	5.94269004e-01	0.00000000e+00	6.27373586e-02	1.56147755e-01
2.41958786e+10	9.96000000e+04	1.29329994e+04	1.00473011e+02	3.59249982e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.27210041e-06	2.22068534e-03	2.36767707e+01	2.60020141e-03	1.34330648e+00	6.08433077e-01	0.00000000e+00	6.31113786e-02	1.57078657e-01
2.41958786e+10	9.96000000e+04	1.32017955e+04	9.98141840e+01	3.66716541e+00	2.50000000e+02	2.88150000e+02	0.00000000e+00	5.25579047e-06	2.23287638e-03	2.35464254e+01	2.62850616e-03	1.35060055e+00	6.22681869e-01	2.11927015e-08	6.34203891e-02	1.57847757e-01
2.41958786e+10	9.96000000e+04	1.35104480e+04	9.90481304e+01	3.75290222e+00	2.50000000e+02	2.88150000e+02	3.54282278e-19	5.24714925e-06	2.24533312e-03	2.34166590e+01	2.65625822e-03	1.35793462e+00	6.37000654e-01	2.43233072e-08	6.37752189e-02	1.58730897e-01
2.41958786e+10	9.96000000e+04	1.38077858e+04	9.83007995e+01	3.83549606e+00	2.50000000e+02	2.88150000e+02	4.04373748e-19	5.22976204e-06	2.25765564e-03	2.32874618e+01	2.68496696e-03	1.36532321e+00	6.51399813e-01	2.73773992e-08	6.41170412e-02	1.59581663e-01
2.41958786e+10	9.96000000e+04	1.41161645e+04	9.75163151e+01	3.92115679e+00	2.50000000e+02	2.88150000e+02	4.52633833e-19	5.21195649e-06	2.27017769e-03	2.31588321e+01	2.71365180e-03	1.37276441e+00	6.65876398e-01	3.05833254e-08	6.44715561e-02	1.60464019e-01
2.41958786e+10	9.96000000e+04	1.44079420e+04	9.67655156e+01	4.00220612e+00	2.50110306e+02	2.88150022e+02	5.02841676e-19	5.19394441e-06	2.28283091e-03	2.30307664e+01	2.74338771e-03	1.38026017e+00	6.80433283e-01	1.28076747e-05	6.48270220e-02	1.61277583e-01
2.41958786e+10	9.96000000e+04	1.47038750e+04	9.59957960e+01	4.08440971e+00	2.54220486e+02	2.88150844e+02	1.07096088e-16	5.44242405e-06	2.32091851e-03	2.29062174e+01	3.92007880e-03	1.38653431e+00	6.95064269e-01	2.61976514e-05	6.59137937e-02	1.61330057e-01
2.41958786e+10	9.96000000e+04	1.50141333e+04	9.51801951e+01	4.17059259e+00	2.58529629e+02	2.88151706e+02	2.17658730e-16	5.79241378e-06	2.41407727e-03	2.27861653e+01	5.30983374e-03	1.39234388e+00	7.09702195e-01	4.03857749e-05	6.70531734e-02	1.61383279e-01
2.41958786e+10	9.96000000e+04	1.53121051e+04	9.43888471e+01	4.25336253e+00	2.62668126e+02	2.88152534e+02	3.33701544e-16	6.29100530e-06	2.56745322e-03	2.26702742e+01	6.98931956e-03	1.39764311e+00	7.24347161e-01	5.41519961e-05	6.81474325e-02	1.61432750e-01
2.41958786e+10	9.96000000e+04	1.56003590e+04	9.36160423e+01	4.33343306e+00	2.66671653e+02	2.88153334e+02	4.45147012e-16	6.93185859e-06	2.76892380e-03	2.25576926e+01	8.85148691e-03	1.40263213e+00	7.38998671e-01	6.75956418e-05	6.92060042e-02	1.61479146e-01
2.41958786e+10	9.96000000e+04	1.59112643e+04	9.27747549e+01	4.41979564e+00	2.70989782e+02	2.88154198e+02	5.52893046e-16	7.69760630e-06	2.99398325e-03	2.24477797e+01	1.08460552e-02	1.40746627e+00	7.53656317e-01	8.22306051e-05	7.03477596e-02	1.61527651e-01
2.41958786e+10	9.96000000e+04	1.62074262e+04	9.19661172e+01	4.50206282e+00	2.75103141e+02	2.88155021e+02	6.69337319e-16	8.58770410e-06	3.21398397e-03	2.23405770e+01	1.30659273e-02	1.41213046e+00	7.68320380e-01	9.62975984e-05	7.14353720e-02	1.61572440e-01
2.41958786e+10	9.96000000e+04	1.65103047e+04	9.11320684e+01	4.58619576e+00	2.79309788e+02	2.88155862e+02	7.80120396e-16	9.49012405e-06	3.40510910e-03	2.22356600e+01	1.52546918e-02	1.41690757e+00	7.82990366e-01	1.10806640e-04	7.25476506e-02	1.61616880e-01
2.41958786e+10	9.96000000e+04	1.68106934e+04	9.02980439e+01	4.66963706e+00	2.83481853e+02	2.88156696e+02	8.93492220e-16	1.03813345e-05	3.55260309e-03	2.21332146e+01	1.74851340e-02	1.42172980e+00	7.97666231e-01	1.25315257e-04	7.36507854e-02	1.61659653e-01
2.41958786e+10	9.96000000e+04	1.71172691e+04	8.94400601e+01	4.75479697e+00	2.87739848e+02	2.88157548e+02	1.00589227e-15	1.12165947e-05	3.65289810e-03	2.20332555e+01	1.97124853e-02	1.42662536e+00	8.12347753e-01	1.96908888e-04	7.47766410e-02	1.61702027e-01
2.41958786e+10	9.96000000e+04	1.74055883e+04	8.86271254e+01	4.83488563e+00	2.91744281e+02	2.88158349e+02	1.72802410e-15	1.42220095e-05	3.64788175e-03	2.19461772e+01	2.94361009e-02	1.42437210e+00	8.27034881e-01	2.93322930e-04	7.58354522e-02	1.61740749e-01
2.41958786e+10	9.96000000e+04	1.77033469e+04	8.77816324e+01	4.91759635e+00	2.95879817e+02	2.88159176e+02	2.71244864e-15	1.79363170e-05	3.50485531e-03	2.18688495e+01	4.33381985e-02	1.41808606e+00	8.41727130e-01	3.93598399e-04	7.69289284e-02	1.61779639e-01
2.41958786e+10	9.96000000e+04	1.80114569e+04	8.69006036e+01	5.00318247e+00	3.00795618e+02	2.88162673e+02	3.73040928e-15	2.09190312e-05	3.24130972e-03	2.17973822e+01	5.82552659e-02	1.41076566e+00	8.56424523e-01	4.98088412e-04	7.81087561e-02	1.61576330e-01
2.41958786e+10	9.96000000e+04	1.83162592e+04	8.60230998e+01	5.08784979e+00	3.21962446e+02	2.88233794e+02	4.78587914e-15	2.29845590e-05	2.91493958e-03	2.17311785e+01	7.39518221e-02	1.40257898e+00	8.71105058e-01	6.02160358e-04	8.05140788e-02	1.55602343e-01
2.41958786e+10	9.96000000e+04	1.86013669e+04	8.51971397e+01	5.16704635e+00	3.41761588e+02	2.88300319e+02	5.83470974e-15	2.42037261e-05	2.59643881e-03	2.16732520e+01	8.95135175e-02	1.39401708e+00	8.85244157e-01	7.00119212e-04	8.27639824e-02	1.50684178e-01
2.41958786e+10	9.96000000e+04	1.89129181e+04	8.42890752e+01	5.25358837e+00	3.63397093e+02	2.88373014e+02	6.81809514e-15	2.47047456e-05	2.30689452e-03	2.16209939e+01	1.04333043e-01	1.38577419e+00	8.98937510e-01	8.07815661e-04	8.52225637e-02	1.45922636e-01
2.41958786e+10	9.96000000e+04	1.92037724e+04	8.34363368e+01	5.33438124e+00	3.83595309e+02	2.88440880e+02	7.89886474e-15	2.51059703e-05	2.05710557e-03	2.15758211e+01	1.20309493e-01	1.37600938e+00	9.12199314e-01	9.08950431e-04	8.75178166e-02	1.41962196e-01
2.41958786e+10	9.96000000e+04	1.95068608e+04	8.25427822e+01	5.41857245e+00	4.04643113e+02	2.88511601e+02	8.91070898e-15	2.52156854e-05	1.85100988e-03	2.15344566e+01	1.35385672e-01	1.36685194e+00	9.25102173e-01	1.01492600e-03	8.99096138e-02	1.38255845e-01
2.41958786e+10	9.96000000e+04	1.98025979e+04	8.16662105e+01	5.50072164e+00	4.25180409e+02	2.88580606e+02	9.97054947e-15	2.53819491e-05	1.68466983e-03	2.14978333e+01	1.50837455e-01	1.35706496e+00	9.37669117e-01	1.20376718e-03	9.22433986e-02	1.34993100e-01
2.41958786e+10	9.96000000e+04	2.01156638e+04	8.07334202e+01	5.58768438e+00	4.46921094e+02	2.88653655e+02	1.34593858e-14	2.66361276e-05	1.53128227e-03	2.14762924e+01	1.76382619e-01	1.33693036e+00	9.49940350e-01	1.40935418e-03	9.47139321e-02	1.31865910e-01
2.41958786e+10	9.96000000e+04	2.04074479e+04	7.98597153e+01	5.66873554e+00	4.67183884e+02	2.88721738e+02	1.73066532e-14	2.77161194e-05	1.39267238e-03	2.14614925e+01	2.03773238e-01	1.31468272e+00	9.61928158e-01	1.60191875e-03	9.70165231e-02	1.29213347e-01
2.41958786e+10	9.96000000e+04	2.07138550e+04	7.89379107e+01	5.75384862e+00	4.88462156e+02	2.88793233e+02	2.09085021e-14	2.84744064e-05	1.28213615e-03	2.14483926e+01	2.28926603e-01	1.29445344e+00	9.73675559e-01	1.80508451e-03	9.94345097e-02	1.26664740e-01
2.41958786e+10	9.96000000e+04	2.10155356e+04	7.80261806e+01	5.83764877e+00	5.09412192e+02	2.88863625e+02	2.47119012e-14	2.93727080e-05	1.19782386e-03	2.14394191e+01	2.54367032e-01	1.27373284e+00	9.85191972e-01	2.00602983e-03	1.01815197e-01	1.24363459e-01
2.41958786e+10	9.96000000e+04	2.13142199e+04	7.71196203e+01	5.92061665e+00	5.30154163e+02	2.88933318e+02	2.84762592e-14	3.02745157e-05	1.13282977e-03	2.14329535e+01	2.78732704e-01	1.25390181e+00	9.96499816e-01	2.20583574e-03	1.04172240e-01	1.22264211e-01
2.41958786e+10	9.96000000e+04	2.16072000e+04	7.62267741e+01	6.00200000e+00	5.50599999e+02	2.89007500e+02	3.22229977e-14	3.12019371e-05	1.08231832e-03	2.14288965e+01	3.02134517e-01	1.23486699e+00	1.00761740e+00	2.40261906e-03	1.06487064e-01	1.20340044e-01
2.41958786e+10	9.96000000e+04	2.19135696e+04	7.52894745e+01	6.08710266e+00	5.76130799e+02	2.89326635e+02	3.59183192e-14	3.21375296e-05	1.04268151e-03	2.14268881e+01	3.24409083e-01	1.21680715e+00	1.01856059e+00	2.60919991e-03	1.09023712e-01	1.17746876e-01
2.41958786e+10	9.96000000e+04	2.22160854e+04	7.43604673e+01	6.17113483e+00	6.01340449e+02	2.89641756e+02	3.98501391e-14	3.33811883e-05	1.02192362e-03	2.14277738e+01	3.45661919e-01	1.19956358e+00	1.02926895e+00	2.82810809e-03	1.11528452e-01	1.15402384e-01
2.41958786e+10	9.96000000e+04	2.25007773e+04	7.34831662e+01	6.25021591e+00	6.25064772e+02	2.89938310e+02	4.73459969e-14	3.49349482e-05	1.01268542e-03	2.14327991e+01	3.67150852e-01	1.18183169e+00	1.03976498e+00	3.04088287e-03	1.13885615e-01	1.13368754e-01
2.41958786e+10	9.96000000e+04	2.28046206e+04	7.25437593e+01	6.33461683e+00	6.50385050e+02	2.90254813e+02	5.59867382e-14	3.65766144e-05	1.01081555e-03	2.14401606e+01	3.87216757e-01	1.16527884e+00	1.05007684e+00	3.26872036e-03	1.16401347e-01	1.11361989e-01
2.41958786e+10	9.96000000e+04	2.31113380e+04	7.15923906e+01	6.41981611e+00	6.75944832e+02	2.90574310e+02	6.52832877e-14	3.84672523e-05	1.01546494e-03	2.14518574e+01	4.07595547e-01	1.14815941e+00	1.06020696e+00	3.49945900e-03	1.18940875e-01	1.09488725e-01
2.41958786e+10	9.96000000e+04	2.34166999e+04	7.06423170e+01	6.50463886e+00	7.01391657e+02	2.90892396e+02	7.47469264e-14	4.04652154e-05	1.02423441e-03	2.14669095e+01	4.27283330e-01	1.13147959e+00	1.07016743e+00	3.72988354e-03	1.21469180e-01	1.07759366e-01
2.41958786e+10	9.96000000e+04	2.37117232e+04	6.97218026e+01	6.58658977e+00	7.25976931e+02	2.91199712e+02	8.42502644e-14	4.25519651e-05	1.03673362e-03	2.14850314e+01	4.46025169e-01	1.11550154e+00	1.07997129e+00	3.95313899e-03	1.23911884e-01	1.06203704e-01
2.41958786e+10	9.96000000e+04	2.40107421e+04	6.87863546e+01	6.66965059e+00	7.50895176e+02	2.91511190e+02	9.35123631e-14	4.46624864e-05	1.05197162e-03	2.15056491e+01	4.63373829e-01	1.10068586e+00	1.08963427e+00	4.18001632e-03	1.26387671e-01	1.04730920e-01
2.41958786e+10	9.96000000e+04	2.43108025e+04	6.78453011e+01	6.75300069e+00	7.75900208e+02	2.91823753e+02	1.02983540e-13	4.69262948e-05	1.07109690e-03	2.15296708e+01	4.80150830e-01	1.08621011e+00	1.09916387e+00	4.40825318e-03	1.28872081e-01	1.03348100e-01
2.41958786e+10	9.96000000e+04	2.46046648e+04	6.69215507e+01	6.83462911e+00	8.00388733e+02	2.92129859e+02	1.12575794e-13	4.93227309e-05	1.09357601e-03	2.15570389e+01	4.96223162e-01	1.07220569e+00	1.10856823e+00	4.61509416e-03	1.31305173e-01	1.02077586e-01
2.41958786e+10	9.96000000e+04	2.49014644e+04	6.59865664e+01	6.91707345e+00	8.25122034e+02	2.92439025e+02	1.26031891e-13	5.18842105e-05	1.12369842e-03	2.15861618e+01	5.09954148e-01	1.06028717e+00	1.11785754e+00	4.81405879e-03	1.33762585e-01	1.00870922e-01
2.41958786e+10	9.96000000e+04	2.52128053e+04	6.50037713e+01	7.00355702e+00	8.50960394e+02	2.92761311e+02	1.42153469e-13	5.46873791e-05	1.16061409e-03	2.16182853e+01	5.22374092e-01	1.04939935e+00	1.12703756e+00	5.02319752e-03	1.36286184e-01	9.96533736e-02
2.41958786e+10	9.96000000e+04	2.55054330e+04	6.40783260e+01	7.08484249e+00	8.72907472e+02	2.93019799e+02	1.59218840e-13	5.77972600e-05	1.20258951e-03	2.16550174e+01	5.34744638e-01	1.03825704e+00	1.13610729e+00	5.22013223e-03	1.37470244e-01	9.79918631e-02
2.41958786e+10	9.96000000e+04	2.58033373e+04	6.31346285e+01	7.16759371e+00	8.95250301e+02	2.93282948e+02	1.75393872e-13	6.07908163e-05	1.24281146e-03	2.16951018e+01	5.46061677e-01	1.02781866e+00	1.14502564e+00	5.42095101e-03	1.38675656e-01	9.63840728e-02
2.41958786e+10	9.96000000e+04	2.61194025e+04	6.21318423e+01	7.25538958e+00	9.18955187e+02	2.93562139e+02	1.92016665e-13	6.39842547e-05	1.28703545e-03	2.17393941e+01	5.56976413e-01	1.01743084e+00	1.15379752e+00	5.63434387e-03	1.39954551e-01	9.47637445e-02
2.41958786e+10	9.96000000e+04	2.64041217e+04	6.12272805e+01	7.33447826e+00	9.40309130e+02	2.93813641e+02	2.09817305e-13	6.75249069e-05	1.33719954e-03	2.17887604e+01	5.67926843e-01	1.00663098e+00	1.16242178e+00	5.82683458e-03	1.41106611e-01	9.33740574e-02
